model,input_size,images,detection_rate_percent,mean_conf_detected_only,mean_conf_all,preprocess_mean_ms,inference_mean_ms,inference_median_ms,inference_p95_ms,total_mean_ms,total_median_ms,total_p95_ms,estimated_fps,cpu_mean_percent,cpu_median_percent,cpu_p95_percent,pss_mean_mb,pss_peak_mb,rss_mean_mb,rss_peak_mb,model_size_mb,gpu_usage_percent,delegate
"yolo11n_320",320,100,80.0000,0.8521,0.6817,37.6215,173.0750,172.4745,177.8850,214.0587,213.1913,218.6093,4.6906,120.7775,119.5628,135.3660,167.9542,182.8291,212.0091,226.9688,10.1063,,"CPU"
"yolo11n_640",640,100,93.0000,0.8936,0.8311,147.0987,727.3579,726.4976,733.6258,888.4573,887.5654,896.3700,1.1267,121.1369,120.6696,125.2286,214.7744,233.1875,259.2854,277.4688,10.1784,,"CPU"
"yolo11s_320",320,100,89.0000,0.8607,0.7660,37.6963,543.3475,543.1708,546.3021,584.6833,584.1269,589.0558,1.7120,121.0571,120.0126,127.2361,230.7823,250.1709,275.0650,294.3633,36.2056,,"CPU"
"yolo11s_640",640,100,96.0000,0.8900,0.8544,147.1637,2323.6031,2320.9879,2338.6884,2485.5997,2483.0966,2498.1427,0.4027,120.5905,120.5164,122.4365,287.3831,305.7451,331.0663,348.5508,36.2777,,"CPU"
