manufacturer,device_model,android_version,sdk_int,hardware,cpu_cores,model,input_size,images,detection_rate_percent,mean_conf_detected_only,mean_conf_all,preprocess_mean_ms,inference_mean_ms,inference_median_ms,inference_p95_ms,total_mean_ms,total_median_ms,total_p95_ms,estimated_fps,cpu_mean_percent,cpu_median_percent,cpu_p95_percent,pss_mean_mb,pss_peak_mb,rss_mean_mb,rss_peak_mb,model_size_mb,gpu_usage_percent,delegate
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_320",320,100,80.0000,0.8521,0.6817,23.0143,85.6840,85.5624,88.2092,109.9224,109.5267,112.5864,9.1302,106.9455,106.0873,109.3738,168.8170,180.7676,201.5314,213.4688,10.1063,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11n_640",640,100,93.0000,0.8936,0.8311,89.2029,352.4159,350.9530,363.9281,445.8108,444.0494,457.8887,2.2520,106.3841,106.1128,107.2761,230.9405,264.9561,262.5005,296.1055,10.1784,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11s_320",320,100,89.0000,0.8607,0.7660,23.0080,258.3344,257.5687,264.6941,282.5700,281.5199,289.0540,3.5521,106.1639,105.9576,106.9485,236.5329,250.9785,267.9153,282.2617,36.2056,,"CPU-1T"
"samsung","SM-A336E","14",34,"s5e8825",8,"yolo11s_640",640,100,96.0000,0.8900,0.8544,89.2499,1079.9845,1076.7108,1100.4025,1173.6487,1169.9902,1194.6818,0.8547,106.1651,105.9808,107.0820,303.0714,333.0547,334.6155,364.3750,36.2777,,"CPU-1T"
